user_id,user_url,posted,item_id,recommend,coincide,sentiment_analysis
GoAwayZach,http://steamcommunity.com/id/GoAwayZach,"Posted December 29, 2014.",304930,True,False,2
76561198054540475,http://steamcommunity.com/profiles/76561198054540475,"Posted February 13, 2015.",12210,True,False,0
76561198054540475,http://steamcommunity.com/profiles/76561198054540475,"Posted December 26, 2014.",265210,True,False,1
76561198054540475,http://steamcommunity.com/profiles/76561198054540475,"Posted February 4, 2014.",48700,True,False,2
76561198085547365,http://steamcommunity.com/profiles/76561198085547365,Posted June 16.,238460,True,False,2
76561198085547365,http://steamcommunity.com/profiles/76561198085547365,Posted June 16.,34900,True,False,2
76561198061252210,http://steamcommunity.com/profiles/76561198061252210,"Posted May 21, 2015.",730,True,False,2
OfficialShroomsy,http://steamcommunity.com/id/OfficialShroomsy,"Posted December 6, 2013.",113200,True,False,2
boydeer,http://steamcommunity.com/id/boydeer,"Posted May 12, 2014.",440,True,False,1
boydeer,http://steamcommunity.com/id/boydeer,"Posted August 24, 2015.",383080,False,False,1
VVillis,http://steamcommunity.com/id/VVillis,"Posted January 6, 2015.",213670,True,False,2
76561198083226897,http://steamcommunity.com/profiles/76561198083226897,"Posted December 22, 2015.",105600,True,False,1
76561198075277292,http://steamcommunity.com/profiles/76561198075277292,"Posted June 23, 2015.",730,True,False,0
76561198075277292,http://steamcommunity.com/profiles/76561198075277292,"Posted September 11, 2015.",570,True,False,2
76561198028895010,http://steamcommunity.com/profiles/76561198028895010,"Posted April 22, 2013.",231180,True,False,2
76561198028895010,http://steamcommunity.com/profiles/76561198028895010,"Posted May 27, 2012.",620,True,False,2
76561198170198366,http://steamcommunity.com/profiles/76561198170198366,Posted January 18.,271290,True,False,2
diego9031,http://steamcommunity.com/id/diego9031,Posted July 30.,4000,True,False,1
diego9031,http://steamcommunity.com/id/diego9031,Posted July 28.,317360,True,False,1
diego9031,http://steamcommunity.com/id/diego9031,"Posted December 5, 2015.",223710,True,False,1
diego9031,http://steamcommunity.com/id/diego9031,"Posted October 4, 2015.",299360,True,False,1
diego9031,http://steamcommunity.com/id/diego9031,"Posted October 3, 2015.",322330,True,False,1
diego9031,http://steamcommunity.com/id/diego9031,"Posted August 13, 2015.",1250,True,False,1
diego9031,http://steamcommunity.com/id/diego9031,"Posted February 22, 2015.",12100,True,False,1
diego9031,http://steamcommunity.com/id/diego9031,"Posted January 14, 2015.",204360,True,False,2
